frame_number,sampled_index,timestamp_seconds,black_pixel_ratio,skin_pixel_ratio,teacher_presence,global_ssim,global_mse,histogram_correlation,edge_count,edge_change_rate,zone_left_ssim,zone_left_edge_density,zone_center_ssim,zone_center_edge_density,zone_right_ssim,zone_right_edge_density,ssim_rolling_mean,ssim_rolling_std,ssim_rolling_max,edge_rolling_mean,edge_rolling_std,edge_rolling_max,edge_decay_velocity
0,0,0.0,0.2753515625,0.5086197916666667,0.5086197916666667,1.0,0.0,1.0,0.07797743055555556,0.0,1.0,0.0923187271778821,1.0,0.0560641627543036,1.0,0.08551401869158878,1.0,0.0,1.0,0.07797743055555556,0.0,0.07797743055555556,0.0
6,1,0.2,0.2752604166666667,0.5090842013888889,0.5090842013888889,0.9984603224956679,1.6946744791666666,0.9999833048201128,0.07746961805555555,0.00050781250000001,0.9997483650854515,0.09234480959833072,0.999623642420328,0.0560641627543036,0.9959485884692322,0.08396936656282451,0.9992301612478339,0.0007698387521660743,1.0,0.07772352430555556,0.000253906250000005,0.07797743055555556,-0.00050781250000001
12,2,0.4,0.2751953125,0.5102604166666667,0.5102604166666667,0.9984380263971143,2.545134548611111,0.9999492463339895,0.07786458333333333,0.000394965277777784,0.9999991943184351,0.09234480959833072,0.9999666303113511,0.0560641627543036,0.9952732798147875,0.08515057113187954,0.998966116297594,0.0007311228403755157,1.0,0.07777054398148148,0.00021771683989623225,0.07797743055555556,0.000394965277777784
18,3,0.6,0.27541666666666664,0.5083984375,0.5083984375,0.999638242231093,0.1761111111111111,0.9999875198540296,0.07763454861111112,0.00023003472222221655,0.9999694612569426,0.09235785080855503,0.9999498271637354,0.05605112154407929,0.9989938501345872,0.0844626168224299,0.9991341477809688,0.0006968566524073732,1.0,0.07773654513888889,0.0001975303284908638,0.07797743055555556,-0.00023003472222221655
24,4,0.8,0.27539930555555553,0.5085546875,0.5085546875,0.9991205183410135,1.0040928819444443,0.9999966221292756,0.07744791666666667,0.00018663194444444586,0.9999952019134023,0.09234480959833072,0.9999834771951591,0.05605112154407929,0.997340718602361,0.08391744548286605,0.9991314218929777,0.0006233113805032665,1.0,0.07767881944444445,0.0002110535660332229,0.07797743055555556,-0.00018663194444444586
30,5,1.0,0.275390625,0.5078732638888889,0.5078732638888889,0.9988313014364989,1.3457552083333333,0.9999788962865159,0.0779904513888889,0.0005425347222222238,0.9999382025772766,0.09237089201877935,0.9999362525858578,0.05605112154407929,0.9965636741198144,0.08551401869158878,0.9988976821802774,0.00044834327903007224,0.999638242231093,0.0776814236111111,0.000214769645609325,0.0779904513888889,0.0005425347222222238
36,6,1.2,0.2753732638888889,0.5076432291666667,0.5076432291666667,0.9944257897308445,11.437018229166666,0.9999813689872886,0.07814236111111111,0.0001519097222222182,0.9999333256997369,0.09239697443922797,0.9999187055875849,0.05605112154407929,0.983159420725325,0.0859423676012461,0.998090775627313,0.001873825292749812,0.999638242231093,0.07781597222222222,0.00024807867508440823,0.07814236111111111,0.0001519097222222182
42,7,1.4,0.27077256944444444,0.5139713541666666,0.5139713541666666,0.9703538227402896,134.80909288194445,0.9999468682181657,0.07991753472222222,0.001775173611111111,0.9999909727778727,0.09237089201877935,0.9999902949921272,0.05605112154407929,0.9096604205672784,0.09127725856697819,0.9924739348959479,0.011216323635585437,0.999638242231093,0.07822656250000001,0.0008807945464650423,0.07991753472222222,0.001775173611111111
48,8,1.6,0.27446180555555555,0.5145529513888889,0.5145529513888889,0.9693836901529888,97.70428385416666,0.9999674717224623,0.07983940972222223,7.812499999999833e-05,0.9999869451817286,0.09239697443922797,0.9999850360333111,0.05605112154407929,0.9067081625117394,0.09101765316718588,0.986423024480327,0.013621997635434797,0.9991205183410135,0.07866753472222224,0.0010156287096323507,0.07991753472222222,-7.812499999999833e-05
54,9,1.8,0.27426649305555556,0.5127083333333333,0.5127083333333333,0.976163191623154,69.9866623263889,0.9999842244187248,0.07951388888888888,0.0003255208333333426,0.9999989575124496,0.09239697443922797,0.9999998037993852,0.05605112154407929,0.927344992825096,0.09004413291796469,0.981831559136755,0.012380825075961664,0.9988313014364989,0.07908072916666667,0.000840560207069727,0.07991753472222222,-0.0003255208333333426
