frame_number,sampled_index,timestamp_seconds,black_pixel_ratio,skin_pixel_ratio,teacher_presence,global_ssim,global_mse,histogram_correlation,edge_count,edge_change_rate,zone_left_ssim,zone_left_edge_density,zone_center_ssim,zone_center_edge_density,zone_right_ssim,zone_right_edge_density,ssim_rolling_mean,ssim_rolling_std,ssim_rolling_max,edge_rolling_mean,edge_rolling_std,edge_rolling_max,edge_decay_velocity
0,0,0.0,0.7877420774647887,0.08389573552425665,0.08389573552425665,1.0,0.0,1.0,0.026787460876369327,0.0,1.0,0.014392605633802817,1.0,0.038578345070422536,1.0,0.02739143192488263,1.0,0.0,1.0,0.026787460876369327,0.0,0.026787460876369327,0.0
6,1,0.2,0.7884927621283255,0.09476232394366198,0.09476232394366198,0.8211653356147419,1006.5121576682316,0.9902173508204122,0.02717136150234742,0.0003839006259780918,0.8529927490009248,0.012492664319248826,0.6711460291576098,0.039561326291079814,0.9420272545326693,0.029460093896713616,0.910582667807371,0.08941733219262904,1.0,0.02697941118935837,0.0001919503129890459,0.02717136150234742,0.0003839006259780918
12,2,0.4,0.7926887715179969,0.09533939749608764,0.09533939749608764,0.8536350199090568,689.2918525039123,0.9982763169179073,0.02712245696400626,4.8904538341158765e-05,0.9499076399072582,0.01198650234741784,0.6699628027682306,0.039275234741784036,0.9407607069991536,0.030105633802816903,0.8916001185079329,0.07778804891140097,1.0,0.027027093114240997,0.00017061774143414026,0.02717136150234742,-4.8904538341158765e-05
18,3,0.6,0.7907179186228482,0.09736649061032863,0.09736649061032863,0.8880877558675475,339.0220779538341,0.9986325278379343,0.028215473395931143,0.0010930164319248835,0.9731032618531742,0.011942488262910798,0.7295519036119602,0.042136150234741786,0.9609030431328289,0.030567781690140846,0.8907220278478365,0.06738359254821552,1.0,0.027324188184663534,0.0005353776731216751,0.028215473395931143,0.0010930164319248835
24,4,0.8,0.7913096635367762,0.09480878325508607,0.09480878325508607,0.9254809791465253,244.64133656103286,0.9993205375331011,0.028433098591549296,0.0002176251956181527,0.9922653895420372,0.011898474178403756,0.800789533193978,0.0427450117370892,0.9831050669995459,0.03065580985915493,0.8976738181075742,0.06185263443883922,1.0,0.027545970266040685,0.0006527270247060938,0.028433098591549296,0.0002176251956181527
30,5,1.0,0.791468603286385,0.09317781690140844,0.09317781690140844,0.8770577886303669,454.2728213028169,0.9979116689392522,0.028039417057902975,0.00039368153364632147,0.9739903375240208,0.012338615023474178,0.7173979150979821,0.04130721830985915,0.9401532127722058,0.030472417840375587,0.8730853758336476,0.0348142431730336,0.9254809791465253,0.027796361502347423,0.000544965545698413,0.028433098591549296,-0.00039368153364632147
36,6,1.2,0.7948845852895149,0.09292106807511737,0.09292106807511737,0.8859228087368358,386.50217136150235,0.9984705394991902,0.028249706572769952,0.00021028951486697783,0.9645297581274807,0.013101525821596243,0.7221516279146319,0.0413218896713615,0.97102327465669,0.030325704225352114,0.8860368704580666,0.02319724414983344,0.9254809791465253,0.028012030516431925,0.0004620104684284419,0.028433098591549296,0.00021028951486697783
42,7,1.4,0.7967625195618153,0.09024843505477308,0.09024843505477308,0.8917984053163177,334.68786678403757,0.9989144593006322,0.029531005477308293,0.0012812989045383402,0.9629258206013294,0.013871772300469484,0.7491094755980289,0.044336854460093895,0.9622344706418463,0.030384389671361502,0.8936695475395187,0.01662881383928972,0.9254809791465253,0.028493740219092335,0.0005334774602728027,0.029531005477308293,0.0012812989045383402
48,8,1.6,0.799026799687011,0.08850987871674491,0.08850987871674491,0.8833065726097793,409.0332526408451,0.9984204667534394,0.02992957746478873,0.00039857198748043804,0.9543130127343923,0.013600352112676056,0.7385419319845445,0.045774647887323945,0.9560295376256354,0.0304137323943662,0.892713310887965,0.01705432588503582,0.9254809791465253,0.02883656103286385,0.0007509402935756707,0.02992957746478873,0.00039857198748043804
54,9,1.8,0.7991710680751174,0.09007971439749608,0.09007971439749608,0.9006027033527368,235.64477210485134,0.9967131657667376,0.03090277777777778,0.0009732003129890483,0.9538447532680412,0.013013497652582159,0.7775011117164663,0.04960387323943662,0.969655070859917,0.030090962441314553,0.8877376557292074,0.007987325785653098,0.9006027033527368,0.029330496870109544,0.0010682849115672048,0.03090277777777778,0.0009732003129890483
